GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__Faecalicoccus	5	2	g__Faecalicoccus 60.0%, g__Solobacterium 40.0%
g__Algorimicrobium	5	2	g__Bizionia 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Anaeroglobus	5	3	g__Megasphaera(f__Veillonellaceae) 60.0%, g__Anaeroglobus(f__Veillonellaceae) 20.0%, g__Colibacter(f__Veillonellaceae) 20.0%
g__Desulfobacula	5	2	g__Desulfobacula 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Planktomarina	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Planktomarina 40.0%
g__Aphanizomenon_B	5	2	g__Aphanizomenon(f__Aphanizomenonaceae) 60.0%, g__Anabaena 40.0%
g__Herbiconiux	5	2	g__Herbiconiux 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Metasolibacillus	5	3	g__Lysinibacillus(f__Bacillaceae) 60.0%, g__Bacillus(f__Bacillaceae) 20.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Rosenbergiella	5	3	g__(f__Bradyrhizobiaceae) 60.0%, g__Rosenbergiella 20.0%, g__Tatumella(f__Erwiniaceae) 20.0%
g__Planktotalea	5	2	g__Planktotalea 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__SCN-69-89	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Lautropia 40.0%
g__Humidesulfovibrio	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Desulfovibrio 40.0%
g__Desulfuromonas	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Desulfuromonas 40.0%
g__Eubacterium_S	5	2	g__Eubacterium(f__Eubacteriaceae) 60.0%, g__Lachnospira 40.0%
g__Synechococcus_D	5	3	g__Synechococcus(f__Synechococcaceae) 60.0%, g__(f__Bradyrhizobiaceae) 20.0%, g__Prochlorococcus(f__Prochloraceae) 20.0%
g__UphvI-Ar2	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Chthonomonas(f__Chthonomonadaceae) 40.0%
g__Confluentibacter	5	2	g__Confluentibacter 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Aurantimicrobium	5	2	g__Aurantimicrobium 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Rivularia	5	3	g__Richelia 60.0%, g__Rivularia(f__Rivulariaceae) 20.0%, g__Calothrix(f__Rivulariaceae) 20.0%
g__Coraliomargarita	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Coraliomargarita 40.0%
g__Ruminobacter	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Ruminobacter 40.0%
g__UBA5905	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Ruminococcus(f__Ruminococcaceae) 40.0%
g__Phaeovulum	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Rhodobacter 40.0%
g__Cephaloticoccus	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Cephaloticoccus 40.0%
g__Flexilinea	5	3	g__Leptolinea 60.0%, g__Flexilinea 20.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__UBA2110	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Candidatus Microthrix(f__Microthrixaceae) 40.0%
g__Bacteriovorax	5	2	g__Bacteriovorax 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Alloprevotella	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Alloprevotella(f__Prevotellaceae) 40.0%
g__CAG-307	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Clostridium(f__Clostridiaceae) 40.0%
g__Thiomargarita	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Thiomargarita(f__Thiotrichaceae) 40.0%
g__UBA7971	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Pedosphaera(f__Verrucomicrobia subdivision 3) 40.0%
g__C04	5	3	g__(f__Bradyrhizobiaceae) 60.0%, g__Polaromonas(f__Comamonadaceae) 20.0%, g__Rhodoferax(f__Comamonadaceae) 20.0%
g__Pseudofulvimonas	5	2	g__Pseudofulvimonas(f__Rhodanobacteraceae) 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Propioniciclava	5	3	g__Propioniciclava 60.0%, g__Nigerium 20.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Caenibius	5	4	g__Novosphingobium 40.0%, g__Erythrobacter(f__Erythrobacteraceae) 20.0%, g__Altererythrobacter(f__Erythrobacteraceae) 20.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Phormidesmis	5	3	g__Phormidesmis(f__Leptolyngbyaceae) 40.0%, g__Leptolyngbya(f__Leptolyngbyaceae) 40.0%, g__Synechococcus(f__Synechococcaceae) 20.0%
g__CAG-306	5	3	g__Clostridium(f__Clostridiaceae) 40.0%, g__(f__Bradyrhizobiaceae) 40.0%, g__Heliobacterium(f__Heliobacteriaceae) 20.0%
g__GCA-900066995	5	3	g__Clostridium(f__Clostridiaceae) 40.0%, g__Ruminococcus(f__Ruminococcaceae) 40.0%, g__Anaeromassilibacillus(f__Ruminococcaceae) 20.0%
g__GCA-900066575	5	3	g__Clostridium(f__Clostridiaceae) 40.0%, g__Lachnoclostridium 40.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Marivivens	5	4	g__Marivivens 40.0%, g__Donghicola 20.0%, g__(f__Bradyrhizobiaceae) 20.0%, g__Loktanella 20.0%
g__Urinacoccus	5	4	g__Urinacoccus 40.0%, g__Peptoniphilus 20.0%, g__(f__Bradyrhizobiaceae) 20.0%, g__Anaerococcus 20.0%
g__Ghiorsea	5	3	g__(f__Bradyrhizobiaceae) 40.0%, g__Mariprofundus 40.0%, g__Ghiorsea(f__) 20.0%
g__Xylanimonas	5	3	g__Xylanimicrobium(f__Promicromonosporaceae) 40.0%, g__Xylanibacterium(f__Promicromonosporaceae) 40.0%, g__Xylanimonas(f__Promicromonosporaceae) 20.0%
g__TMED26	5	3	g__Candidatus Endolissoclinum(f__Rhodospirillaceae) 40.0%, g__Nisaea(f__Rhodospirillaceae) 40.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Albibacillus	5	4	g__Pseudooceanicola 40.0%, g__Phaeobacter 20.0%, g__Ruegeria 20.0%, g__Marivita 20.0%
g__Pelagimonas	5	3	g__Pelagimonas 40.0%, g__Tropicibacter 40.0%, g__Primorskyibacter 20.0%
g__Labilibaculum	5	3	g__Labilibaculum 40.0%, g__(f__Bradyrhizobiaceae) 40.0%, g__Ancylomarina 20.0%
g__Salisediminibacterium	5	4	g__Salisediminibacterium(f__Bacillaceae) 40.0%, g__(f__Bradyrhizobiaceae) 20.0%, g__Bacillus(f__Bacillaceae) 20.0%, g__Actinophytocola(f__Pseudonocardiaceae) 20.0%
g__Superficieibacter	5	3	g__(f__Bradyrhizobiaceae) 40.0%, g__Superficieibacter 40.0%, g__Klebsiella 20.0%
g__Salinivenus	5	3	g__Salinivenus 40.0%, g__(f__Bradyrhizobiaceae) 40.0%, g__Salinibacter(f__Rhodothermaceae) 20.0%
g__Homoserinimonas	5	3	g__Salinibacterium 40.0%, g__Cryobacterium 40.0%, g__Homoserinimonas 20.0%
g__Chroogloeocystis	5	5	g__Gloeocapsa(f__Chroococcaceae) 20.0%, g__Chroogloeocystis(f__Chroococcaceae) 20.0%, g__(f__Bradyrhizobiaceae) 20.0%, g__Gloeocapsopsis(f__Chroococcaceae) 20.0%, g__Chroococcidiopsis 20.0%
g__Qipengyuania	5	5	g__Altererythrobacter(f__Erythrobacteraceae) 20.0%, g__Citromicrobium 20.0%, g__(f__Bradyrhizobiaceae) 20.0%, g__Erythrobacter(f__Erythrobacteraceae) 20.0%, g__Qipengyuania(f__Erythrobacteraceae) 20.0%
g__Nocardiopsis_A	4	1	g__Nocardiopsis(f__Nocardiopsaceae) 100.0%
g__Baumannia	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Treponema_A	4	1	g__Treponema(f__Spirochaetaceae) 100.0%
g__Eperythrozoon_B	4	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__RS62	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Clostridium_W	4	1	g__Clostridium(f__Clostridiaceae) 100.0%
g__Paenibacillus_I	4	1	g__Paenibacillus 100.0%
g__Bacillus_M	4	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Epulopiscium_B	4	1	g__Epulopiscium(f__) 100.0%
g__Paenibacillus_Q	4	1	g__Paenibacillus 100.0%
g__Aminidesulfovibrio	4	1	g__Desulfovibrio 100.0%
g__Altererythrobacter_A	4	1	g__Altererythrobacter(f__Erythrobacteraceae) 100.0%
g__MA-N2	4	1	g__Arthrobacter 100.0%
g__Paenibacillus_T	4	1	g__Paenibacillus 100.0%
g__Ruminococcus_F	4	1	g__Ruminococcus 100.0%
g__IMCC3088	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Meiothermus_A	4	1	g__Meiothermus 100.0%
g__Bordetella_B	4	1	g__Bordetella(f__Alcaligenaceae) 100.0%
g__FD2005	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Arcanobacterium_A	4	1	g__Arcanobacterium 100.0%
g__Wagnerdoeblera	4	1	g__Gemmobacter 100.0%
g__Bacillus_S	4	1	g__Bacillus(f__Bacillaceae) 100.0%
g__UBA12151	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12411	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12478	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12393	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12403	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12395	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWF2-33-10	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA2-42-15	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12078	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12463	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWB1-41-6	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA2-35-9	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA2-44-9	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11426	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SM1-46	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWB1-40-14	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10025	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-617	4	1	g__Prevotella(f__Prevotellaceae) 100.0%
g__Frackibacter	4	1	g__Candidatus Frackibacter(f__Halobacteroidaceae) 100.0%
g__58-81	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Coprococcus_A	4	1	g__Coprococcus 100.0%
g__OLB13	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Lapidilactobacillus	4	1	g__Lactobacillus 100.0%
g__Rhizobium_A	4	1	g__Rhizobium 100.0%
g__DTU052	4	1	g__Syntrophothermus(f__Syntrophomonadaceae) 100.0%
g__DTU074	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU098	4	1	g__Pelotomaculum(f__Peptococcaceae) 100.0%
g__DTU013	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__DTU033	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AAA044-D11	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Phormidesmis_A	4	1	g__Phormidesmis 100.0%
g__Paenibacillus_R	4	1	g__Paenibacillus 100.0%
g__UBA1394	4	1	g__Ruminococcus 100.0%
g__Arthrobacter_G	4	1	g__Arthrobacter 100.0%
g__Boudabousia	4	1	g__Actinomyces 100.0%
g__UBA3947	4	1	g__Clostridium 100.0%
g__RBG-16-66-20	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WO2-54-10	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG2-30-37-29	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA918	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-43-12	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-47-50	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-01-FULL-39-24	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9627	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-40-28	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__XYC2-FULL-46-14	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWB2-47-37	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__D2-FULL-39-29	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__XYD2-FULL-41-8	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-44-17	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WO2-43-9	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG1-02-41-12	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-39-13	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WO2-FULL-39-10	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-50-19	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-01-FULL-51-34	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG1-02-37-22	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WO2-FULL-40-11	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__XYB2-FULL-36-35	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-35-15	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HO2-FULL-38-9	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HO2-FULL-47-45	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWF2-50-93	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1559	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__XYC2-FULL-41-22	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-01-FULL-45-10	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-68-19	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-39-32	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-01-FULL-43-22	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-38-14	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-43-11	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-49-16	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-45-10	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HIGHO2-12-38-15	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-50-16	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2775	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-01-FULL-44-22	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RBG-16-66-30	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWF2-35-48	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-45-21	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG2-30-59-28	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-38-14-A	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9631	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWF2-33-38	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__HO2-45-11b	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1558	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10181	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG1-02-41-21	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG1-02-37-114	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__51-20	4	1	g__Azospirillum(f__Rhodospirillaceae) 100.0%
g__UBA10170	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-44-12	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8953	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Pseudomonas_M	4	1	g__Pseudomonas 100.0%
g__Epulopiscium_A	4	1	g__Epulopiscium(f__) 100.0%
g__TMED80	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__TMED54	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__TMED27	4	1	g__Micavibrio(f__) 100.0%
g__UBA8317	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Rhodopirellula_B	4	1	g__Rhodopirellula(f__Planctomycetaceae) 100.0%
g__JdFR-88	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7805	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12191	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002718655	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Kuenenia	4	1	g__Candidatus Kuenenia 100.0%
g__Bacillus_BO	4	1	g__Bacillus(f__Bacillaceae) 100.0%
g__UBA2979	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002779875	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2270	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1177	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5336	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6898	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002694895	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2227	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6808	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1254	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1103	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3574	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6231	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-36-11	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2638	4	1	g__Micavibrio(f__) 100.0%
g__UBA3073	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7803	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA923	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1123	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2134	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6249	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1221	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PFJX01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002779425	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5047	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11600	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA890	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3478	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA823	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1217	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA919	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA796	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5352	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4166	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4644	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2259	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3212	4	1	g__Lachnospira 100.0%
g__UBA2964	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1227	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__49-20	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4293	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4078	4	1	g__Geobacter 100.0%
g__UBA2922	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5150	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6624	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002782225	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3076	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2199	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7050	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2268	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2364	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002795985	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6120	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2017	4	1	g__Chthonomonas(f__Chthonomonadaceae) 100.0%
g__UBA966	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5938	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA940	4	1	g__Alistipes 100.0%
g__GCA-002785045	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5261	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SP4260	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1859	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6503	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4877	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002840015	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002721295	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8366	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA965	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6940	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2202	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4582	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MEDG-81	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2737125	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9659	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9926	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002701455	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5081	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2993	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002862325	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2207	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BAIKAL-G1-2R	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8437	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA852	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Phil12	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7428	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6902	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12225	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-47-13	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Lenti-01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1865	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6615	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6614	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MED-G10	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002784865	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5884	4	1	g__Ruminococcus 100.0%
g__UBA5195	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002701945	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002793235	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2286	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__21-14-all-39-27	4	1	g__Bdellovibrio(f__Bdellovibrionaceae) 100.0%
g__GCA-002701365	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2730	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BACL11	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002722245	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Citrobacter_C	4	1	g__Citrobacter 100.0%
g__Oceanitalea	4	1	g__Georgenia(f__Bogoriellaceae) 100.0%
g__Paenibacillus_AB	4	1	g__Paenibacillus 100.0%
g__Palsa-1483	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9722	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AV2	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-870	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-504	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8639	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-564	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-189	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Gp1-AA124	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Gp6-AA45	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-105	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1268	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-147	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Gp1-AA112	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Gp6-AA56	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SZUA-217	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-744	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1118	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-363-P08	4	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__QALR01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-1188	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QALW01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS403	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1688	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS1670	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10677	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AM07-15	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11774	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SFDB01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__BD1	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T3SED10-47	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__QWPT01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLSL01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__T3SED10-260	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10416	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CSSED11-315	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLRW01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWVB01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLNP01	4	1	g__(f__Bradyrhizobiaceae) 100.0%
